block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
LV3 B1,D2-S1-1,6,C11,67,0.74,10,,1.2,5,2,WP,
DPR B2,D2-S1-8,6,C11,68,0.53,15,,3.5,4,2,GP,
LV3 B3,D1-S1-1,6,C11,69,0.9,12,,2.1,5,2,OP,
DPR B1,D1-S1-4,6,C11,70,0.79,14,,3.2,5,0,GP,
DPR B2,D1-S1-3,6,C11,71,0.79,16,,3.2,5,2,GP,
LV3 B3,D1-S1-3,6,C11,72,0.96,12,,2.2,6,2,BP,
DPR B1,D1-S1-7,6,C11,73,0.68,10,,3.2,5,2,GP,
WL1 B1,D2-S2-4,6,C11,74,0.85,14,,1.8,5,2,YP,
SQ3 B3,D2-S2-8,6,C11,75,0.68,9,,1.8,4,2,RS,
SQ3 B1,D1-S1-7,6,C11,76,0.67,12,,2.2,6,1,BP,
WL1 B1,D2-S1-8,6,C11,77,0.57,10,,2.2,5,2,GP,
SQ3 B3,D2-S1-10,6,C11,78,0.74,12,,1.3,6,2,BS,
LV3 B2,D1-S2-7,6,C11,79,0.86,10,,2.1,6,1,BS,
LV3 B2,D1-S1-7,6,C11,80,0.91,13,,1.4,5,2,YS,
LV3 B3,D2-S1-7,6,C11,81,0.95,8,,1.7,5,2,OS,
LV3 B2,D1-S2-5,6,C11,83,1.17,12,,2.1,7,2,BS,
DPR B1,D1-S1-9,6,C11,84,0.8,15,,5.4,6,2,GP,
DPR B2,D2-S1-1,6,C11,85,0.72,14,,2,5,2,GP,
LV3 B3,D2-S2-5,6,C11,86,0.9,13,,1.5,7,2,OP,
WL1 B2,D1-S2-3,6,C11,87,0.81,14,,2.1,8,2,YP,
LV3 B2,D1-S2-9,6,C11,88,0.76,10,,2,7,2,BP,
LV3 B1,D2-S2-9,6,C11,89,0.77,12,,1.9,6,2,WP,
LV3 B2,D2-S1-7,6,C11,90,0.87,12,,1.9,7,2,BP,
DPR B2,D1-S2-1,6,C11,91,1,17,,4.5,5,2,GP,
WL1 B1,D1-S2-9,6,C11,92,0.84,14,,1.6,6,2,YP,
WL1 B2,D1-S2-6,6,C11,93,0.65,15,,1.9,5,2,OP,
LV3 B2,D1-S1-5,6,C11,94,0.92,13,,2.2,6,2,WP,
DPR B1,D2-S1-4,6,C11,95,0.95,13,,2.9,5,1,WP,
WL1 B1,D1-S1-5,6,C11,96,0.66,9,,1.5,4,2,GP,
SQ3 B1,D1-S2-2,6,C11,97,0.87,15,,1.5,5,2,BP,
WL1 B1,D2-S1-7,6,C11,98,0.79,14,,3,5,2,GP,
DPR B2,D1-S1-4,6,C12,1,0.73,15,,4.4,5,2,GP,
DPR B1,D2-S2-6,6,C12,2,0.48,16,,3.5,6,2,GP,
WL1 B2,D1-S2-7,6,C12,3,0.44,15,,2.6,5,2,GP,
WL1 B1,D2-S1-6,6,C12,5,0.51,14,,3,5,2,GP,
SQ3 B1,D1-S2-7,6,C12,6,0.28,12,,2.2,6,2,BP,
WL1 B1,D2-S2-5,6,C12,7,0.26,11,,1.5,6,2,GP,
WL1 B1,D2-S1-2,6,C12,8,0.31,10,,1.7,4,2,GP,
DPR B2,D1-S1-5,6,C12,9,0.3,17,,3.5,6,2,GP,
SQ3 B3,D2-S1-5,6,C12,10,0.42,16,,2,6,2,BP,
SQ3 B3,D2-S2-7,6,C12,11,0.24,9,,1.6,5,2,RS,
LV3 B2,D1-S2-3,6,C12,12,0.38,9,,2.6,4,2,BP,
DPR B2,D1-S1-6,6,C12,13,0.51,19,,4.3,6,2,RS,
SQ3 B2,D1-S2-2,6,C12,14,0.77,16,,2.9,13,2,WP,
SQ3 B3,D2-S2-5,6,C12,15,0.09,8,,1.1,5,1,YS,
WL1 B1,D1-S2-3,6,C12,16,0.35,17,,2.5,7,2,YP,
LV3 B3,D2-S1-4,6,C12,17,0.35,11,,2.9,6,2,BP,
LV3 B2,D2-S2-9,6,C12,18,0.56,13,,2.4,8,2,BP,
SQ3 B1,D1-S1-3,6,C12,19,0.29,11,,1.6,5,2,BP,
SQ3 B1,D2-S2-6,6,C12,20,0.2,8,,1,4,0,,
LV3 B1,D2-S1-7,6,C12,21,0.43,10,,2.1,6,2,BP,
SQ3 B1,D2-S2-9,6,C12,22,0.45,13,,1.5,5,2,,
SQ3 B1,D2-S2-3,6,C12,23,0.37,12,,1.7,6,2,,
LV3 B3,D1-S2-6,6,C12,24,0.38,10,,2.5,7,2,GP,
SQ3 B2,D1-S2-8,6,C12,25,0.27,9,,1.5,4,2,BP,
SQ3 B2,D1-S2-9,6,C12,26,0.32,13,,2,6,2,BS,
DPR B2,D2-S2-7,6,C12,27,0.53,17,,4.5,5,2,GP,
DPR B1,D2-S1-6,6,C12,28,0.6,15,,4.9,7,1,YP,
LV3 B1,D2-S1-5,6,C12,29,0.47,11,,1.9,6,2,BP,
