block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes
SQ3 B1,D2-S2-5,6,C10,8,0.34,14,,2.1,6,2,YP,
LV3 B2,D1-S2-4,6,C10,9,0.34,11,,1.5,7,2,WP,
LV3 B1,D2-S2-2,6,C10,10,0.27,9,,2.2,6,2,OP,
LV3 B2,D2-S2-2,6,C10,11,0.27,11,,2.9,6,2,OP,
LV3 B3,D1-S1-6,6,C10,12,0.38,11,,2.5,6,2,BP,
WL1 B1,D1-S1-7,6,C10,13,0.37,12,,2.4,5,2,GP,
LV3 B1,D2-S2-8,6,C10,14,0.42,10,,1.5,6,2,OP,
LV3 B3,D1-S2-7,6,C10,15,0.54,12,,2.3,7,2,WP,
SQ3 B1,D2-S1-10,6,C10,16,0.52,9,,0.9,5,2,WP,
LV3 B3,D2-S1-5,6,C10,17,0.69,13,,2.2,6,2,WP,
DPR B1,D2-S1-10,6,C10,18,0.51,15,,3.6,5,2,OS,
WL1 B1,D2-S2-1,6,C10,19,0.31,12,,2.1,5,2,YP,
SQ3 B3,D1-S2-8,6,C10,20,0.17,11,,1.6,5,1,OP,
WL1 B1,D1-S1-6,6,C10,21,0.32,8,,1.2,4,2,OP,
DPR B1,D1-S2-10,6,C10,22,0.49,14,,3.4,6,2,GP,
LV3 B2,D1-S2-10,6,C10,23,0.36,8,,1,5,2,OS,
WL1 B1,D1-S2-6,6,C10,24,0.24,10,,1.7,5,2,WP,
LV3 B2,D2-S2-4,6,C10,25,0.24,11,,2.1,6,2,WP,
DPR B1,D1-S2-6,6,C10,26,0.28,13,,4.1,5,2,OS,
WL1 B1,D1-S2-10,6,C10,28,0.21,8,,1.1,4,2,BP,
DPR B1,D2-S2-5,6,C10,29,0.6,14,,3.1,6,2,GP,
SQ3 B3,D1-S2-9,6,C10,30,0.33,15,,0.9,6,1,OP,
DPR B2,D2-S1-9,6,C10,31,0.32,10,,3,6,1,GP,
LV3 B1,D2-S2-4,6,C10,32,0.44,10,,2.2,6,2,OP,
LV3 B2,D1-S1-2,6,C10,33,0.28,10,,2,5,2,WP,
LV3 B1,D1-S1-8,6,C10,34,0.48,11,,2.2,6,2,WP,
SQ3 B3,D1-S1-4,6,C10,35,0.2,10,,1.2,5,0,GP,
SQ3 B1,D2-S1-6,6,C10,36,0.52,14,,1.5,5,2,OP,
SQ3 B3,D2-S2-4,6,C10,37,0.54,12,,1,5,2,PS,
DPR B1,D2-S1-2,6,C10,38,0.58,13,,3.8,6,0,OP,
DPR B2,D2-S1-2,6,C10,39,0.18,12,,3.5,5,2,BS,
DPR B1,D1-S2-2,6,C10,40,0.39,12,,4.5,6,2,GP,
SQ3 B2,D2-S1-4,6,C10,41,0.29,9,,0.9,4,2,BP,
SQ3 B2,D2-S1-1,6,C10,42,0.17,9,,1.6,5,2,OS,
LV3 B3,D2-S1-3,6,C10,43,0.57,12,,1.9,7,2,WP,
LV3 B2,D1-S2-2,6,C10,44,0.39,13,,3,7,2,WP,
DPR B2,D2-S2-9,6,C10,45,0.36,11,,3,6,0,GP,
LV3 B3,D1-S2-4,6,C10,46,0.36,9,,2.1,5,2,OS,
DPR B2,D2-S2-3,6,C10,47,0.28,10,,2.6,5,0,GP,
LV3 B1,D1-S2-7,6,C10,48,0.44,8,,1.7,6,2,OS,
SQ3 B3,D1-S2-1,6,C10,49,0.22,10,,1.1,6,2,OS,
DPR B1,D1-S1-10,6,C10,50,0.79,17,,5.7,7,2,GP,
SQ3 B1,D1-S2-9,6,C10,51,0.29,15,,1.3,6,2,OP,
WL1 B1,D1-S2-2,6,C10,52,0.32,15,,2.5,5,2,YP,
WL1 B2,D1-S2-2,6,C10,53,0.33,16,,2.1,6,2,GP,
SQ3 B3,D2-S2-2,6,C10,54,0.55,13,,1,7,2,OS,
LV3 B3,D2-S2-4,6,C10,55,0.48,12,,2.1,7,2,OP,
DPR B1,D2-S1-8,6,C10,56,0.67,16,,3.6,6,2,GP,
DPR B1,D2-S2-2,6,C10,57,0.77,16,,3.8,7,0,OP,
SQ3 B3,D2-S1-3,6,C10,58,0.22,8,,1.3,4,2,,
DPR B2,D1-S1-2,6,C10,59,0.49,17,,4,6,2,GP,
DPR B1,D2-S2-9,6,C10,60,0.54,15,,4.2,6,2,GP,
WL1 B2,D2-S1-3,6,C10,61,0.52,16,,2.8,6,2,OP,
SQ3 B2,D2-S1-2,6,C10,62,0.44,12,,1,5,2,RS,
LV3 B2,D2-S2-5,6,C10,63,0.41,11,,1.9,8,2,WP,
SQ3 B1,D1-S2-5,6,C10,64,0.3,11,,1.7,7,2,OP,
DPR B1,D2-S2-10,6,C10,65,0.6,19,,4.2,6,2,OP,
DPR B2,D1-S2-3,6,C10,66,0.28,20,,3.1,6,0,GP,
DPR B2,D1-S1-9,6,C10,67,0.39,20,,4.4,6,2,GP,
LV3 B3,D2-S1-1,6,C10,68,0.47,13,,1.9,7,2,OP,
DPR B1,D2-S2-7,6,C10,69,0.43,20,,2.5,7,2,YP,
DPR B1,D2-S1-1,6,C10,70,0.45,21,,5.2,7,1,GP,
DPR B2,D2-S2-2,6,C10,71,0.52,15,,4.1,7,0,GP,
