day,type,code
0,green toothpick,GP
1,yellow toothpick,YP
2,orange toothpick,OP
3,white toothpick,WP
4,blue toothpick,BP
5,orange sword,OS
6,blue sword,BS
7,red sword,RS
8,pink sword,PS
9,yellow sword,YS
10,white sword,WS
11,red diamond,RD
12,green heart,GH
13,white heart,WH
14,yellow diamond,YD
